Task,Contractor,Start,Finish,Duration (wd),Section
Wall & floor tiling  JD tiling,,2025-08-11,2025-08-15,5,
Plumbing final/shower screens,,2025-08-14,2025-08-15,2,
Plumbing final/shower screens,,2025-08-18,2025-08-18,1,
"kitchen 1st fix,units tops & appliances   WREN",MCL,2025-08-19,2025-08-22,4,
"kitchen 1st fix,units tops & appliances   WREN",MCL,2025-08-26,2025-08-26,1,
Wall & floor tiling   JD tiling,PANACEA,2025-08-11,2025-08-15,5,
Plumbing final fix /shower screens   GPL,MCL,2025-08-18,2025-08-21,4,
Plumbing final fix /shower screens   GPL,Edencroft,2025-08-28,2025-08-29,2,
Plumbing final fix /shower screens   GPL,Edencroft,2025-09-01,2025-09-03,3,
"kitchen 1st fix,units tops & appliances",PANACEA,2025-08-26,2025-08-29,4,
"kitchen 1st fix,units tops & appliances",PANACEA,2025-09-01,2025-09-01,1,
Wall & floor tiling   JD tiling,PANACEA,2025-08-14,2025-08-15,2,
Wall & floor tiling   JD tiling,PANACEA,2025-08-18,2025-08-20,3,
Plumbing final fix /shower screens   GPL,MCL,2025-09-04,2025-09-05,2,
Plumbing final fix /shower screens   GPL,MCL,2025-09-08,2025-09-10,3,
Floor and wall tiling   JD tiling,PANACEA,2025-08-21,2025-08-22,2,
Floor and wall tiling   JD tiling,PANACEA,2025-08-26,2025-08-28,3,
"Kitchen 1st fix,units tops & appliances",MCL,2025-09-01,2025-09-04,4,
Floor and wall tiling   JD tiling,MCL,2025-08-26,2025-08-29,4,
Floor and wall tiling   JD tiling,MCL,2025-09-01,2025-09-01,1,
Ceilings - metal,GPL,2025-08-13,2025-08-15,3,
Sprinkler 2nd fix & test  Armstrong preistly,ARMSTRONG,2025-08-14,2025-08-15,2,
"Kitchen 1st fix,units tops & appliances",PANACEA,2025-09-08,2025-09-12,5,
Ceilings metal only,MCL,2025-08-19,2025-08-22,4,
Ceilings metal only,PANACEA,2025-08-28,2025-08-29,2,
Ceilings metal only,PANACEA,2025-09-01,2025-09-01,1,
Drying out,,2025-12-17,2025-12-31,11,
1st fix partitions/pattreses one side,,2025-08-13,2025-08-15,3,
1st fix partitions/pattreses one side,,2025-08-18,2025-08-19,2,
1st fix partitions/pattreses one side,,2025-08-20,2025-08-22,3,
1st fix partitions/pattreses one side,,2025-08-26,2025-08-27,2,
