Section,Activity,Contractor,Start,Finish,Duration
,Activity,,2025-08-24,2026-06-30,222
1,L1 apartment fit out cluster 1,,2025-12-07,2025-12-08,1
1,L1 apartment fit out cluster 1,,2025-12-14,2025-12-15,1
1,L1 apartment fit out cluster 1,,2025-12-21,2025-12-22,1
1,L1 apartment fit out cluster 1,,2025-12-28,2025-12-29,1
1,L1 apartment fit out cluster 1,,2026-01-05,2026-01-06,2
1,L1 apartment fit out cluster 1,,2026-01-12,2026-01-13,2
1,L1 apartment fit out cluster 1,,2026-01-19,2026-01-20,2
1,L1 apartment fit out cluster 1,,2026-01-26,2026-01-27,2
1,L1 apartment fit out cluster 1,,2026-02-02,2026-02-03,2
1,L1 apartment fit out cluster 1,,2026-02-09,2026-02-10,2
1,L1 apartment fit out cluster 1,,2026-02-16,2026-02-17,2
1,L1 apartment fit out cluster 1,,2026-02-23,2026-02-25,3
1,L1 apartment fit out cluster 1,,2026-03-06,2026-03-07,1
1,L1 apartment fit out cluster 1,,2026-03-13,2026-03-14,1
1,L1 apartment fit out cluster 1,,2026-03-20,2026-03-21,1
1,L1 apartment fit out cluster 1,,2026-03-27,2026-03-28,1
1,L1 apartment fit out cluster 1,,2026-04-04,2026-04-05,1
1,L1 apartment fit out cluster 1,,2026-04-11,2026-04-12,1
1,L1 apartment fit out cluster 1,,2026-04-18,2026-04-19,1
1,L1 apartment fit out cluster 1,,2026-04-25,2026-04-26,1
1,L1 apartment fit out cluster 1,,2026-05-01,2026-05-02,1
1,L1 apartment fit out cluster 1,,2026-05-08,2026-05-09,1
1,L1 apartment fit out cluster 1,,2026-05-15,2026-05-16,1
1,L1 apartment fit out cluster 1,,2026-05-22,2026-05-23,1
1,L1 apartment fit out cluster 1,,2026-05-29,2026-05-30,1
1,L1 apartment fit out cluster 1,,2026-06-06,2026-06-07,1
1,L1 apartment fit out cluster 1,,2026-06-13,2026-06-14,1
1,L1 apartment fit out cluster 1,,2026-06-20,2026-06-21,1
1,L1 apartment fit out cluster 1,,2026-06-25,2026-06-28,2
2,"kitchen 1st fix,units tops & appliances",,2025-12-07,2025-12-08,1
2,"kitchen 1st fix,units tops & appliances",,2025-12-14,2025-12-15,1
2,"kitchen 1st fix,units tops & appliances",,2025-12-21,2025-12-22,1
2,"kitchen 1st fix,units tops & appliances",,2025-12-28,2025-12-29,1
2,"kitchen 1st fix,units tops & appliances",,2026-01-05,2026-01-06,2
2,"kitchen 1st fix,units tops & appliances",,2026-01-12,2026-01-13,2
2,"kitchen 1st fix,units tops & appliances",,2026-01-19,2026-01-20,2
2,"kitchen 1st fix,units tops & appliances",,2026-01-26,2026-01-27,2
2,"kitchen 1st fix,units tops & appliances",,2026-02-02,2026-02-03,2
2,"kitchen 1st fix,units tops & appliances",,2026-02-09,2026-02-10,2
2,"kitchen 1st fix,units tops & appliances",,2026-02-16,2026-02-17,2
2,"kitchen 1st fix,units tops & appliances",,2026-02-23,2026-02-25,3
2,"kitchen 1st fix,units tops & appliances",,2026-03-06,2026-03-07,1
2,"kitchen 1st fix,units tops & appliances",,2026-03-13,2026-03-14,1
2,"kitchen 1st fix,units tops & appliances",,2026-03-20,2026-03-21,1
2,"kitchen 1st fix,units tops & appliances",,2026-03-27,2026-03-28,1
2,"kitchen 1st fix,units tops & appliances",,2026-04-04,2026-04-05,1
2,"kitchen 1st fix,units tops & appliances",,2026-04-11,2026-04-12,1
2,"kitchen 1st fix,units tops & appliances",,2026-04-18,2026-04-19,1
2,"kitchen 1st fix,units tops & appliances",,2026-04-25,2026-04-26,1
2,"kitchen 1st fix,units tops & appliances",,2026-05-01,2026-05-02,1
2,"kitchen 1st fix,units tops & appliances",,2026-05-08,2026-05-09,1
2,"kitchen 1st fix,units tops & appliances",,2026-05-15,2026-05-16,1
2,"kitchen 1st fix,units tops & appliances",,2026-05-22,2026-05-23,1
2,"kitchen 1st fix,units tops & appliances",,2026-05-29,2026-05-30,1
2,"kitchen 1st fix,units tops & appliances",,2026-06-06,2026-06-07,1
2,"kitchen 1st fix,units tops & appliances",,2026-06-13,2026-06-14,1
2,"kitchen 1st fix,units tops & appliances",,2026-06-20,2026-06-21,1
2,"kitchen 1st fix,units tops & appliances",,2026-06-25,2026-06-28,2
3,PANACEA,,2025-12-07,2025-12-08,1
3,PANACEA,,2025-12-14,2025-12-15,1
3,PANACEA,,2025-12-21,2025-12-22,1
3,PANACEA,,2025-12-28,2025-12-29,1
3,PANACEA,,2026-01-05,2026-01-06,2
3,PANACEA,,2026-01-12,2026-01-13,2
3,PANACEA,,2026-01-19,2026-01-20,2
3,PANACEA,,2026-01-26,2026-01-27,2
3,PANACEA,,2026-02-02,2026-02-03,2
3,PANACEA,,2026-02-09,2026-02-10,2
3,PANACEA,,2026-02-16,2026-02-17,2
3,PANACEA,,2026-02-23,2026-02-25,3
3,PANACEA,,2026-03-06,2026-03-07,1
3,PANACEA,,2026-03-13,2026-03-14,1
3,PANACEA,,2026-03-20,2026-03-21,1
3,PANACEA,,2026-03-27,2026-03-28,1
3,PANACEA,,2026-04-04,2026-04-05,1
3,PANACEA,,2026-04-11,2026-04-12,1
3,PANACEA,,2026-04-18,2026-04-19,1
3,PANACEA,,2026-04-25,2026-04-26,1
3,PANACEA,,2026-05-01,2026-05-02,1
3,PANACEA,,2026-05-08,2026-05-09,1
3,PANACEA,,2026-05-15,2026-05-16,1
3,PANACEA,,2026-05-22,2026-05-23,1
3,PANACEA,,2026-05-29,2026-05-30,1
3,PANACEA,,2026-06-06,2026-06-07,1
3,PANACEA,,2026-06-13,2026-06-14,1
3,PANACEA,,2026-06-20,2026-06-21,1
3,PANACEA,,2026-06-25,2026-06-28,2
4,Wall & floor tiling  JD tiling,,2025-12-07,2025-12-08,1
4,Wall & floor tiling  JD tiling,,2025-12-14,2025-12-15,1
4,Wall & floor tiling  JD tiling,,2025-12-21,2025-12-22,1
4,Wall & floor tiling  JD tiling,,2025-12-28,2025-12-29,1
4,Wall & floor tiling  JD tiling,,2026-01-05,2026-01-06,2
4,Wall & floor tiling  JD tiling,,2026-01-12,2026-01-13,2
4,Wall & floor tiling  JD tiling,,2026-01-19,2026-01-20,2
4,Wall & floor tiling  JD tiling,,2026-01-26,2026-01-27,2
4,Wall & floor tiling  JD tiling,,2026-02-02,2026-02-03,2
4,Wall & floor tiling  JD tiling,,2026-02-09,2026-02-17,7
4,Wall & floor tiling  JD tiling,,2026-02-23,2026-02-25,3
4,Wall & floor tiling  JD tiling,,2026-03-06,2026-03-07,1
4,Wall & floor tiling  JD tiling,,2026-03-13,2026-03-14,1
4,Wall & floor tiling  JD tiling,,2026-03-20,2026-03-21,1
4,Wall & floor tiling  JD tiling,,2026-03-27,2026-03-28,1
4,Wall & floor tiling  JD tiling,,2026-04-04,2026-04-05,1
4,Wall & floor tiling  JD tiling,,2026-04-11,2026-04-12,1
4,Wall & floor tiling  JD tiling,,2026-04-18,2026-04-19,1
